Run Name,Label,Begin,Duration (us),PKG (uJ),DRAM (uJ)
origin_4,run,Mon Oct 28 18:30:18 2024,700116990.4690,6163214081.0000,470729141.0000
michel_4,run,Mon Oct 28 18:42:04 2024,529112047.0780,4765992621.0000,358427793.0000
michel_4,run,Mon Oct 28 19:02:37 2024,571964141.4860,4652368461.0000,386344287.0000
origin_4,run,Mon Oct 28 19:12:14 2024,729816381.0330,6008555053.0000,494477555.0000
michel_4,run,Mon Oct 28 19:24:30 2024,517616668.0740,4843219413.0000,358933347.0000
origin_4,run,Mon Oct 28 19:33:13 2024,692834538.8100,6204505845.0000,467937462.0000
michel_4,run,Mon Oct 28 19:44:51 2024,526044727.6550,4790801700.0000,356886477.0000
origin_4,run,Mon Oct 28 19:53:42 2024,709600084.6790,5994346349.0000,473265696.0000
michel_4,run,Mon Oct 28 20:05:37 2024,572771822.2790,4600845339.0000,386810290.0000
origin_4,run,Mon Oct 28 20:15:16 2024,713795080.7530,5982912906.0000,482045641.0000
michel_4,run,Mon Oct 28 20:27:15 2024,520192394.3910,4776637064.0000,347627284.0000
origin_4,run,Mon Oct 28 20:36:00 2024,701671566.1010,6239399493.0000,474892095.0000
michel_4,run,Mon Oct 28 20:47:48 2024,566646246.3270,4653385426.0000,384697380.0000
origin_4,run,Mon Oct 28 20:57:20 2024,731752906.3010,5871349349.0000,492674948.0000
michel_4,run,Mon Oct 28 21:09:37 2024,534228375.7180,4752974466.0000,362556078.0000
origin_4,run,Mon Oct 28 21:18:37 2024,708754960.2390,6062429366.0000,479920220.0000
michel_4,run,Mon Oct 28 21:30:31 2024,544607889.9070,4584509931.0000,365503948.0000
origin_4,run,Mon Oct 28 21:39:41 2024,722498171.0260,6059000297.0000,489865079.0000
michel_4,run,Mon Oct 28 21:51:49 2024,525389305.2240,4695644229.0000,355034125.0000
